n,t_seconds,measured_value
0,0.0,0.0
1,0.0001,0.0145
2,0.0002,0.0158
3,0.0003,0.0166
4,0.0004,0.033
5,0.0005,0.0349
6,0.0006,0.0605
7,0.0007,0.0896
8,0.0008,0.072
9,0.0009,0.0799
10,0.001,0.1064
11,0.0011,0.1142
12,0.0012,0.1202
13,0.0013,0.1144
14,0.0014,0.1376
15,0.0015,0.1582
16,0.0016,0.1373
17,0.0017,0.1603
18,0.0018,0.1483
19,0.0019,0.1671
20,0.002,0.1684
21,0.0021,0.2021
22,0.0022,0.1962
23,0.0023,0.2289
24,0.0024,0.2367
25,0.0025,0.241
26,0.0026,0.2156
27,0.0027,0.2548
28,0.0028,0.2716
29,0.0029,0.2834
30,0.003,0.2682
31,0.0031,0.2934
32,0.0032,0.2953
33,0.0033,0.3072
34,0.0034,0.3446
35,0.0035,0.3259
36,0.0036,0.3469
37,0.0037,0.3699
38,0.0038,0.3572
39,0.0039,0.3735
40,0.004,0.3861
41,0.0041,0.3946
42,0.0042,0.3845
43,0.0043,0.4132
44,0.0044,0.4416
45,0.0045,0.4071
46,0.0046,0.4524
47,0.0047,0.4504
48,0.0048,0.4481
49,0.0049,0.4968
50,0.005,0.4872
51,0.0051,0.4669
52,0.0052,0.495
53,0.0053,0.5115
54,0.0054,0.509
55,0.0055,0.5311
56,0.0056,0.5288
57,0.0057,0.5487
58,0.0058,0.5692
59,0.0059,0.5464
60,0.006,0.5684
61,0.0061,0.5673
62,0.0062,0.585
63,0.0063,0.5741
64,0.0064,0.592
65,0.0065,0.6066
66,0.0066,0.6318
67,0.0067,0.6442
68,0.0068,0.6159
69,0.0069,0.6326
70,0.007,0.6629
71,0.0071,0.632
72,0.0072,0.6636
73,0.0073,0.6778
74,0.0074,0.7067
75,0.0075,0.7068
76,0.0076,0.7002
77,0.0077,0.7081
78,0.0078,0.7185
79,0.0079,0.7536
80,0.008,0.7329
81,0.0081,0.7432
82,0.0082,0.7616
83,0.0083,0.763
84,0.0084,0.7703
85,0.0085,0.765
86,0.0086,0.7899
87,0.0087,0.7919
88,0.0088,0.8244
89,0.0089,0.8251
90,0.009,0.8233
91,0.0091,0.842
92,0.0092,0.8352
93,0.0093,0.8644
94,0.0094,0.8568
95,0.0095,0.874
96,0.0096,0.8541
97,0.0097,0.8869
98,0.0098,0.8646
99,0.0099,0.8676
100,0.01,0.9018
101,0.0101,0.901
102,0.0102,0.9251
103,0.0103,0.9645
104,0.0104,0.9265
105,0.0105,0.9377
106,0.0106,0.9583
107,0.0107,0.9707
108,0.0108,0.9687
109,0.0109,0.9763
110,0.011,0.9979
111,0.0111,1.0032
112,0.0112,0.9879
113,0.0113,1.0102
114,0.0114,1.0199
115,0.0115,1.0115
116,0.0116,1.0392
117,0.0117,1.0303
118,0.0118,1.0657
119,0.0119,1.0619
120,0.012,1.0682
121,0.0121,1.0659
122,0.0122,1.0808
123,0.0123,1.0604
124,0.0124,1.0812
125,0.0125,1.1114
126,0.0126,1.0818
127,0.0127,1.1342
128,0.0128,1.1031
129,0.0129,1.1484
130,0.013,1.1321
131,0.0131,1.1641
132,0.0132,1.1621
133,0.0133,1.1448
134,0.0134,1.1942
135,0.0135,1.2047
136,0.0136,1.1897
137,0.0137,1.1942
138,0.0138,1.2035
139,0.0139,1.1989
140,0.014,1.2376
141,0.0141,1.2205
142,0.0142,1.2354
143,0.0143,1.2318
144,0.0144,1.2418
145,0.0145,1.2395
146,0.0146,1.285
147,0.0147,1.2713
148,0.0148,1.2956
149,0.0149,1.2887
150,0.015,1.2855
151,0.0151,1.2984
152,0.0152,1.3023
153,0.0153,1.3182
154,0.0154,1.3198
155,0.0155,1.3283
156,0.0156,1.3194
157,0.0157,1.3353
158,0.0158,1.3795
159,0.0159,1.3519
160,0.016,1.3534
161,0.0161,1.3816
162,0.0162,1.4049
163,0.0163,1.3692
164,0.0164,1.3951
165,0.0165,1.3959
166,0.0166,1.3861
167,0.0167,1.4308
168,0.0168,1.4265
169,0.0169,1.4351
170,0.017,1.4299
171,0.0171,1.4551
172,0.0172,1.4473
173,0.0173,1.4603
174,0.0174,1.4529
175,0.0175,1.4583
176,0.0176,1.5036
177,0.0177,1.483
178,0.0178,1.502
179,0.0179,1.5041
180,0.018,1.505
181,0.0181,1.511
182,0.0182,1.535
183,0.0183,1.528
184,0.0184,1.5371
185,0.0185,1.5467
186,0.0186,1.5709
187,0.0187,1.5703
188,0.0188,1.5727
189,0.0189,1.5654
190,0.019,1.56
191,0.0191,1.6018
192,0.0192,1.6088
193,0.0193,1.599
194,0.0194,1.6161
195,0.0195,1.6264
196,0.0196,1.6339
197,0.0197,1.6421
198,0.0198,1.6281
199,0.0199,1.6644
200,0.02,1.6297
201,0.0201,1.668
202,0.0202,1.6692
203,0.0203,1.6816
204,0.0204,1.7033
205,0.0205,1.704
206,0.0206,1.6712
207,0.0207,1.6697
208,0.0208,1.7139
209,0.0209,1.693
210,0.021,1.7146
211,0.0211,1.7339
212,0.0212,1.7032
213,0.0213,1.7028
214,0.0214,1.7448
215,0.0215,1.7481
216,0.0216,1.7503
217,0.0217,1.761
218,0.0218,1.754
219,0.0219,1.7507
220,0.022,1.7773
221,0.0221,1.7717
222,0.0222,1.768
223,0.0223,1.8067
224,0.0224,1.8046
225,0.0225,1.818
226,0.0226,1.8034
227,0.0227,1.8147
228,0.0228,1.8159
229,0.0229,1.824
230,0.023,1.8465
231,0.0231,1.8381
232,0.0232,1.8615
233,0.0233,1.8676
234,0.0234,1.8991
235,0.0235,1.8541
236,0.0236,1.8946
237,0.0237,1.8861
238,0.0238,1.8935
239,0.0239,1.8781
240,0.024,1.8992
241,0.0241,1.9234
242,0.0242,1.9172
243,0.0243,1.9258
244,0.0244,1.9264
245,0.0245,1.9542
246,0.0246,1.9427
247,0.0247,1.9161
248,0.0248,1.9448
249,0.0249,1.9317
250,0.025,1.9186
251,0.0251,1.9655
252,0.0252,1.9995
253,0.0253,1.9862
254,0.0254,1.9739
255,0.0255,1.9834
256,0.0256,2.0205
257,0.0257,2.0119
258,0.0258,2.0162
259,0.0259,2.0206
260,0.026,2.028
261,0.0261,2.0454
262,0.0262,2.0476
263,0.0263,2.0484
264,0.0264,2.0354
265,0.0265,2.0646
266,0.0266,2.0526
267,0.0267,2.0851
268,0.0268,2.0555
269,0.0269,2.0784
270,0.027,2.0861
271,0.0271,2.0722
272,0.0272,2.1237
273,0.0273,2.1256
274,0.0274,2.1025
275,0.0275,2.1268
276,0.0276,2.1267
277,0.0277,2.0876
278,0.0278,2.1363
279,0.0279,2.1373
280,0.028,2.1452
281,0.0281,2.1335
282,0.0282,2.1513
283,0.0283,2.1584
284,0.0284,2.1845
285,0.0285,2.1774
286,0.0286,2.1779
287,0.0287,2.2066
288,0.0288,2.181
289,0.0289,2.1891
290,0.029,2.1733
291,0.0291,2.2296
292,0.0292,2.2261
293,0.0293,2.231
294,0.0294,2.2328
295,0.0295,2.23
296,0.0296,2.2371
297,0.0297,2.2356
298,0.0298,2.2419
299,0.0299,2.2513
300,0.03,2.2786
301,0.0301,2.2698
302,0.0302,2.266
303,0.0303,2.2637
304,0.0304,2.2683
305,0.0305,2.3073
306,0.0306,2.2963
307,0.0307,2.2951
308,0.0308,2.2943
309,0.0309,2.2883
310,0.031,2.3093
311,0.0311,2.3288
312,0.0312,2.3151
313,0.0313,2.323
314,0.0314,2.3284
315,0.0315,2.3387
316,0.0316,2.3185
317,0.0317,2.3441
318,0.0318,2.3402
319,0.0319,2.3715
320,0.032,2.352
321,0.0321,2.3775
322,0.0322,2.3969
323,0.0323,2.3746
324,0.0324,2.3755
325,0.0325,2.3926
326,0.0326,2.395
327,0.0327,2.3853
328,0.0328,2.4123
329,0.0329,2.4408
330,0.033,2.4119
331,0.0331,2.4179
332,0.0332,2.4104
333,0.0333,2.436
334,0.0334,2.4176
335,0.0335,2.4249
336,0.0336,2.4658
