n,t_seconds,measured_value
0,0.0,0.0
1,0.0003,0.0359
2,0.0006,0.0542
3,0.0009,0.0714
4,0.0012,0.1095
5,0.0015,0.1279
6,0.0018,0.178
7,0.0021,0.2325
8,0.0024,0.2245
9,0.0027,0.2504
10,0.003,0.301
11,0.0033,0.3265
12,0.0036,0.3495
13,0.0039,0.3566
14,0.0042,0.4023
15,0.0045,0.4443
16,0.0048,0.4308
17,0.0051,0.4757
18,0.0054,0.4738
19,0.0057,0.5129
20,0.006,0.5286
21,0.0063,0.5872
22,0.0066,0.5929
23,0.0069,0.6499
24,0.0072,0.6737
25,0.0075,0.6927
26,0.0078,0.6719
27,0.0081,0.737
28,0.0084,0.7723
29,0.0087,0.8008
30,0.009,0.793
31,0.0093,0.8391
32,0.0096,0.8539
33,0.0099,0.882
34,0.0102,0.9439
35,0.0105,0.9309
36,0.0108,0.9707
37,0.0111,1.0131
38,0.0114,1.0077
39,0.0117,1.041
40,0.012,1.0691
41,0.0123,1.0917
42,0.0126,1.0893
43,0.0129,1.1385
44,0.0132,1.1873
45,0.0135,1.1522
46,0.0138,1.2231
47,0.0141,1.231
48,0.0144,1.2384
49,0.0147,1.3136
50,0.015,1.3112
51,0.0153,1.2941
52,0.0156,1.3416
53,0.0159,1.3735
54,0.0162,1.38
55,0.0165,1.419
56,0.0168,1.4256
57,0.0171,1.4616
58,0.0174,1.4983
59,0.0177,1.4771
60,0.018,1.5157
61,0.0183,1.5232
62,0.0186,1.5558
63,0.0189,1.5501
64,0.0192,1.5828
65,0.0195,1.6108
66,0.0198,1.6529
67,0.0201,1.678
68,0.0204,1.6486
69,0.0207,1.6791
70,0.021,1.7277
71,0.0213,1.6946
72,0.0216,1.7447
73,0.0219,1.7714
74,0.0222,1.8178
75,0.0225,1.8256
76,0.0228,1.8244
77,0.0231,1.8425
78,0.0234,1.8637
79,0.0237,1.9179
80,0.024,1.8975
81,0.0243,1.9185
82,0.0246,1.95
83,0.0249,1.9589
84,0.0252,1.9755
85,0.0255,1.9752
86,0.0258,2.0153
87,0.0261,2.0245
88,0.0264,2.0744
89,0.0267,2.0818
90,0.027,2.0858
91,0.0273,2.1171
92,0.0276,2.1142
93,0.0279,2.1593
94,0.0282,2.1552
95,0.0285,2.184
96,0.0288,2.1635
97,0.0291,2.213
98,0.0294,2.1891
99,0.0297,2.1987
100,0.03,2.2499
101,0.0303,2.2544
102,0.0306,2.292
103,0.0309,2.3498
104,0.0312,2.3044
105,0.0315,2.3246
106,0.0318,2.3571
107,0.0321,2.3787
108,0.0324,2.381
109,0.0327,2.3961
110,0.033,2.4298
111,0.0333,2.4416
112,0.0336,2.4259
113,0.0339,2.4603
114,0.0342,2.4777
115,0.0345,2.471
116,0.0348,2.5123
117,0.0351,2.5049
118,0.0354,2.5563
119,0.0357,2.5554
120,0.036,2.568
121,0.0363,2.569
122,0.0366,2.5929
123,0.0369,2.5697
124,0.0372,2.6013
125,0.0375,2.6454
126,0.0378,2.6097
127,0.0381,2.6833
128,0.0384,2.6454
129,0.0387,2.7093
130,0.039,2.6911
131,0.0393,2.7373
132,0.0396,2.7379
133,0.0399,2.7181
134,0.0402,2.7873
135,0.0405,2.8045
136,0.0408,2.7877
137,0.0411,2.7968
138,0.0414,2.8122
139,0.0417,2.809
140,0.042,2.8634
141,0.0423,2.8435
142,0.0426,2.8662
143,0.0429,2.8641
144,0.0432,2.8801
145,0.0435,2.8797
146,0.0438,2.9429
147,0.0441,2.9271
148,0.0444,2.9619
149,0.0447,2.9552
150,0.045,2.9533
151,0.0453,2.9728
152,0.0456,2.9802
153,0.0459,3.0036
154,0.0462,3.0079
155,0.0465,3.0212
156,0.0468,3.0115
157,0.0471,3.0346
158,0.0474,3.0955
159,0.0477,3.0606
160,0.048,3.0645
161,0.0483,3.1037
162,0.0486,3.1365
163,0.0489,3.0906
164,0.0492,3.1268
165,0.0495,3.1295
166,0.0498,3.118
167,0.0501,3.179
168,0.0504,3.1748
169,0.0507,3.1876
170,0.051,3.182
171,0.0513,3.2169
172,0.0516,3.2077
173,0.0519,3.2263
174,0.0522,3.2176
175,0.0525,3.226
176,0.0528,3.2875
177,0.0531,3.261
178,0.0534,3.2874
179,0.0537,3.2911
180,0.054,3.2932
181,0.0543,3.302
182,0.0546,3.3349
183,0.0549,3.3263
184,0.0552,3.3393
185,0.0555,3.3526
186,0.0558,3.3856
187,0.0561,3.3855
188,0.0564,3.3893
189,0.0567,3.38
190,0.057,3.3733
191,0.0573,3.4295
192,0.0576,3.4393
193,0.0579,3.4266
194,0.0582,3.4497
195,0.0585,3.4638
196,0.0588,3.4741
197,0.0591,3.4851
198,0.0594,3.4667
199,0.0597,3.5153
200,0.06,3.4691
201,0.0603,3.5203
202,0.0606,3.5219
203,0.0609,3.5384
204,0.0612,3.5673
205,0.0615,3.5682
206,0.0618,3.5244
207,0.0621,3.5222
208,0.0624,3.5809
209,0.0627,3.5529
210,0.063,3.5815
211,0.0633,3.607
212,0.0636,3.5658
213,0.0639,3.5648
214,0.0642,3.6205
215,0.0645,3.6245
216,0.0648,3.627
217,0.0651,3.6408
218,0.0654,3.631
219,0.0657,3.626
220,0.066,3.661
221,0.0663,3.6529
222,0.0666,3.6474
223,0.0669,3.6983
224,0.0672,3.6948
225,0.0675,3.7119
226,0.0678,3.6918
227,0.0681,3.7061
228,0.0684,3.7069
229,0.0687,3.7168
230,0.069,3.746
231,0.0693,3.734
232,0.0696,3.7642
233,0.0699,3.7713
234,0.0702,3.8124
235,0.0705,3.7514
236,0.0708,3.8043
237,0.0711,3.7921
238,0.0714,3.8008
239,0.0717,3.7792
240,0.072,3.8062
241,0.0723,3.8373
242,0.0726,3.8278
243,0.0729,3.8381
244,0.0732,3.8376
245,0.0735,3.8735
246,0.0738,3.8568
247,0.0741,3.8201
248,0.0744,3.857
249,0.0747,3.8383
250,0.075,3.8193
251,0.0753,3.8804
252,0.0756,3.9243
253,0.0759,3.9052
254,0.0762,3.8874
255,0.0765,3.8985
256,0.0768,3.9464
257,0.0771,3.9334
258,0.0774,3.9376
259,0.0777,3.9419
260,0.078,3.9501
261,0.0783,3.9717
262,0.0786,3.9729
263,0.0789,3.9724
264,0.0792,3.9534
265,0.0795,3.9906
266,0.0798,3.9728
267,0.0801,4.0144
268,0.0804,3.9731
269,0.0807,4.0018
270,0.081,4.0104
271,0.0813,3.9899
272,0.0816,4.0567
273,0.0819,4.0574
274,0.0822,4.0247
275,0.0825,4.0552
276,0.0828,4.0531
277,0.0831,3.9989
278,0.0834,4.0619
279,0.0837,4.0613
280,0.084,4.0698
281,0.0843,4.0522
282,0.0846,4.0739
283,0.0849,4.0812
284,0.0852,4.114
285,0.0855,4.1024
286,0.0858,4.101
287,0.0861,4.137
288,0.0864,4.1007
